$ bun ./📜️script.ts nx run @semio-tech/framework-renderer-react:test -- "--reporter=verbose"

> nx run @semio-tech/framework-renderer-react:test --reporter=verbose

> bun ./📜️script.ts test --reporter=verbose


 RUN  v4.1.10 /Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react

stderr | 🧪️index.test.ts
THREE.WARNING: Multiple instances of Three.js being imported.

 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework sync utilities > builds three sync backbone toggles 3ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui identity preservation (puzzle 2d perf) > preserveJsonIdentity reuses the previous reference for structurally-equal values 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui identity preservation (puzzle 2d perf) > preserveJsonIdentity returns the new reference when content actually differs 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui identity preservation (puzzle 2d perf) > preserveJsonIdentity treats nested arrays/objects structurally, not just top-level fields 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui identity preservation (puzzle 2d perf) > preserveJsonIdentity treats undefined previous as always-changed 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui identity preservation (puzzle 2d perf) > mergeRecordPreservingIdentity reuses the whole previous record when every key is unchanged 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui identity preservation (puzzle 2d perf) > mergeRecordPreservingIdentity reuses per-key references, replacing only the changed key 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui identity preservation (puzzle 2d perf) > mergeRecordPreservingIdentity treats a key being added or removed as a change 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildActiveUtilityByWindowId omits null utilities for batched refresh 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest forwards per-window utility map on viewState without a focused-window singular leak 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildActiveUtilityByWindowId makes a just-activated transform visible to refresh before the next React render 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest for a full scope requests every window/panel/engagements/measures/labels section (utility bars are now registry-derived, not a plugin section) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest for none returns null 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest for a partial scope requests only the listed window/panel bodies and flags 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest returns null for a partial scope that matches nothing in this app 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest attaches the cached hash for a section that was already fetched once 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest gives two instances of the same window kind distinct keys and independent cached hashes 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > applyUiRefreshResponseToCache writes changed sections and ignores hash-only (unchanged) ones 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest for a full scope also requests the mode-level tools section (keyed by tool id, not a window) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > buildUiRefreshRequest for a partial scope requests tools only when the scope's `tools` flag is set 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > batched ui refresh request/response (puzzle 2d perf round 3) > applyUiRefreshResponseToCache caches the tools section same as measures/engagements/labels 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > adaptPluginHandle's own refreshUi is an honest empty result — window-body refresh now lives in loadPluginModule's ActivationRegistry/ShardClient turn loop, which a bare exchange-only handle has no access to 5ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > fetchDescriptorManifest falls back to an honest empty manifest when no 🔣️descriptor.json is reachable, and surfaces a real one when it is 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > applyUiPatchToRetained > a root Replace on a fresh surface (no previous body) is applied 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > applyUiPatchToRetained > a root Replace with a matching baseRevision advances the retained body 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > applyUiPatchToRetained > a non-root op (no incremental walker yet) is an honest desync — the previous body is kept 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > applyUiPatchToRetained > an ops-less patch with a stale baseRevision is a desync — nothing to reconcile against 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > parses a typed InvocationResponse, including requestedEffects, from a plugin handle-action response 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > falls back to an empty InvocationResponse for malformed handle-action JSON 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > serializePerActor queues concurrent turns for the same actor one at a time, never overlapping 32ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > serializePerActor keys independently per actor — different actors run concurrently, not queued behind each other 7ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > serializePerActor keeps queuing subsequent turns after an earlier one rejects 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > adaptPluginHandle.handleAction round-trips an action's output/uiScope/historyPatch from AppFrame::Invocation; requestedEffects is honestly empty for a bare exchange-only handle 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > adaptPluginHandle exposes setMergePolicy/resolveConflict/readConflicts and sends the real AppCommand wire frames — ticket 26/08/16/MUTATION-OUTCOMES-MERGE-POLICIES-AND-FIRST-CLASS-CONFLICTS lane K2: the merge-policy Settings control and Conflicts panel Accept/Discard used to call `plugin.handle.setMergePolicy?.(…)` against a handle that never had the method, so the optional call silently no-opped — this asserts the method genuinely exists AND that calling it round-trips through the real `AppCommand`/`AppFrame` codecs, not an internal spy 5ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework plugin runtime > adaptPluginHandle.applyMutations decodes an unsolicited MergeReport/Conflicts reply and it reaches ShellState — ticket 26/08/16/MUTATION-OUTCOMES-MERGE-POLICIES-AND-FIRST-CLASS-CONFLICTS lane L1 gap 1: a peer's ApplyEnvelopes ingest batches MergeReport/Conflicts frames alongside it (contract freeze §C6/§C9 'pushed unsolicited after every ingest'), but `applyMutations` used to only look for an Error frame and silently drop everything else — this asserts the guest's real roster survives the decode AND that dispatching it through `shellReducer`'s SET_CONFLICTS (what ShellHost's `applyRemoteMerge` does) lands a remote-origin quarantined conflict in both `selectOpenConflicts` and `selectQuarantinedConflicts`, exactly the panel/badge lane K2 wired 3ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer types > keeps window tabs concise while retaining the app fallback 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer types > survives an app whose manifest declares no breadcrumb at all 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer types > flattens a recursive panelTabs tree to its leaves, depth-first 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer types > accepts component scene nodes 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer types > accepts graph-timeline component scene nodes 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework external slots > degrades a resolvable external slot to 'unavailable' until the binary-channel render path lands 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework external slots > renders external slot fallback text when unresolved 8ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > renders declarative text with appearance-aware foreground 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > dag overlay label fills resolve to Canvas2D-safe hex for appearance 15ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > renders field description, required marker and inline error 6ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > renders slider unit readout 10ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > renders numberStepper as a single-border Stepper control, not hand-rolled double-bordered buttons 4ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > shows the mixed-values placeholder on a non-uniform numberStepper 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > renders a group node as a labeled section nesting its child controls (Origin > X/Y/Z steppers) 5ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > tokenizes stack node gap/padding instead of hardcoded rem inline styles, and keeps separators off raw border-border 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > passes number bounds and file accept to inputs 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > disables gated wizard buttons 5ms
 × |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > renders selectable builder cards with selection ring 14ms
   → expected '<div class="relative flex min-h-0 min…' to contain 'ring-primary'
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > renders image nodes from url sources 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > declarative forms parity > dispatches the tree drop action with payload, target and position 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders node graph host from workflow scene json 11ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders editable node graph host with find items 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > uses the live session camera for node graph wheel viewport actions 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > encodes node graph scenes as pack bytes for wasm sync 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > parses slider overlay state json for flow graph hosts 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders graph slider overlays as track-only controls without a nested value readout 12ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > scales graph slider overlay chrome with canvas zoom so the knob matches other elements 3ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders canvas 2d host with infinite canvas session 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders canvas 2d host with draw gradient/blend/overlay/meta scene records 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders puzzle 2d board host shell 8ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > uses the live puzzle 2d board camera for wheel persistence actions 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > coalesces puzzle 2d board events: drops transients, keeps the latest camera, coalesces nodeMove per id 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > coalesces puzzle 2d board events: drops nodeMove rows once a nodeDragEnd follows 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > flushes puzzle 2d board events immediately for select/brushPlace/edge/delete rows, not for camera/nodeMove alone 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > collects live mirror mutations: coalesces nodeMove to the latest per id, ignores unrelated rows 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > collects live mirror mutations: nodeDragEnd.moves produce final positions 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > collects live mirror mutations: preselect sets the live highlight, select/preselectCancel commit selection and clear it 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > peer registry: registers/unregisters, excludes own surfaceId and other controllerIds 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > peer gesture ownership: begin/end tracks the owning surfaceId; a pane never defers against its own gesture 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > pushes live mirror mutations into peer sessions, skipping the source pane 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > notifies peers when a gesture ends, skipping the source pane, passing whether it flushed 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > maps context menu specs onto UI items with icons, colors, hover, and select handlers 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > maps suggestion-style specs without a color swatch field 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > enriches context menu shortcuts from app keybindings 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > formats keybinding chords for menu shortcut labels 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > numbers suggestion menu rows with digit shortcuts for the first nine candidates 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > enriches context menu shortcuts from app keybindings via mapContextMenuSpecs 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > parses a catalogue drag payload and builds a drop-preview JSON 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > rejects a catalogue drag payload without a kindId 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > parses a puzzle 3d catalogue drag payload and snaps drop origins to the grid 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > raycasts the Z=0 ground under orthographic top and perspective cameras 3ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > shares the world catalogue drop preview across all registered hosts 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > shares live world selection previews across sibling panes without allowing an idle pane to clear the active gesture 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > pushes fixture-drop previews to every board2d peer on the same controller 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > inverts the canonical screen-to-world transform for a fixture drop 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > puzzle2dWorldToScreen is the exact inverse of puzzle2dScreenToWorld 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > maps a world-centered node inside the viewport with canonical camera math 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > canvas-2d surface colors follow the light theme canvas token instead of a hardcoded dark fill 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders world 3d empty state without mounting r3f canvas 5ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > marks every non-empty world-3d host with the bottom-right orbit view gizmo 8ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > keeps world-3d orbit camera seed local per viewport once detached 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > buildWorldCameraDispatchArgs carries position/target/zoom/up but never a projection field 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > worldCameraSetCameraDispatchArgs nests the camera pose under a `camera` key, never flat alongside windowId 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > worldCameraPoseApproxEqual matches exact poses and float-noise, rejects a genuinely different pose 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > shouldReattachWorldViewportCamera suppresses a self-echo of the last dispatched camera but not a genuinely different pose 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > preserves projectionSpec.view from gizmo snaps instead of clobbering to top 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > accepts extended world 3d scene fields 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > parses GIS 3D terrain style JSON, defaulting missing fields, and rejects a missing tileUrlTemplate 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > blocks instance picking for fill, brush, and volume brush engagements but not move 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > resolves vortex pointer-down to select in brush or vertex mode and click-or-drag otherwise 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > scopes suggestion menu ownership to the opening world window so sibling panes stay interactive 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > revisions vortex materials when selection or hover state changes 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > revisions world mesh materials when style kind changes so deselection clears selected paint 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > uses the world surface selection mode instead of a stale shared invertive mode 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > resolves mesh style by priority: disabled > celebrated > selected > highlighted > hovered > neutral 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > celebrateWorldInstances stamps ids and cancel clears them so paint prefers celebrated over selected 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > maps edge hover to line paint so coplanar edges stay distinct from face hover fill 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > treats centerline meshes without shaded triangles as curve-only instances 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > derives marquee bounds from edge samples when positions are empty 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders the new group selection as active and only objects leaving the old selection as highlighted 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > builds addBrushObject args from a parsed brush preview, or null when there is nothing to place 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > defaults sourceVortexIndex to 0 when the brush preview omits it 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > resolves brush/suggestion ghost mesh URLs even when the kind is not yet among scene meshes 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > resolves the right-click context menu target by priority: vortex, then object, then reference 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > titles context menus from the specific hit before falling back to the surface 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > covers every target domain emitted by current surface pickers 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders text editor host 3ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders text editor host with hover/newline/rename scene fields 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > multiSpanReplace renames every occurrence and remaps spans 1ms
